816
0,1,-1
1,2,-1
2,3,1
3,4,1
4,5,-1
5,6,1
6,7,1
7,8,1
9,10,-1
10,11,1
11,12,1
12,13,-1
13,14,1
14,15,-1
15,16,1
16,17,-1
17,13,1
13,18,1
18,19,1
19,20,1
20,12,-1
12,21,1
21,22,-1
22,23,-1
23,24,1
24,21,1
21,25,-1
25,26,1
26,27,1
27,28,1
28,29,-1
29,6,1
6,7,1
7,8,1
0,1,-1
1,2,-1
2,30,1
30,3,1
3,31,1
31,32,-1
32,33,1
33,34,1
34,12,-1
12,25,-1
25,26,1
26,8,1
0,1,-1
1,2,-1
2,3,1
3,11,1
11,35,1
35,13,1
13,36,1
36,37,-1
37,38,1
38,39,1
39,40,-1
40,8,1
41,19,1
19,42,1
42,43,-1
43,11,1
11,44,1
44,27,1
27,45,1
45,46,-1
46,38,1
38,47,1
47,6,-1
6,48,1
48,49,1
49,7,1
7,8,1
22,23,-1
23,50,-1
50,51,-1
51,14,1
14,52,-1
52,30,1
30,53,-1
53,6,-1
6,48,-1
48,3,1
3,11,1
11,37,1
37,54,1
54,55,1
55,30,1
30,56,1
56,57,-1
57,38,1
38,39,1
39,58,-1
58,7,1
7,8,1
43,59,-1
59,60,-1
60,61,1
61,62,-1
62,0,1
0,1,-1
1,2,-1
2,3,1
3,35,1
35,19,1
19,63,1
63,64,-1
64,6,1
6,11,1
11,65,1
65,19,1
19,66,1
66,67,-1
67,68,1
68,66,-1
66,67,-1
67,11,1
11,69,1
69,70,1
70,3,1
3,21,1
21,23,-1
23,7,1
7,71,1
71,13,1
13,72,1
72,73,-1
73,74,1
74,2,-1
2,13,1
13,75,1
75,30,1
30,76,1
76,58,-1
58,48,-1
48,49,-1
49,7,1
7,8,1
0,1,-1
1,2,-1
2,30,1
30,3,1
3,77,1
77,51,1
51,11,1
11,78,1
78,51,1
51,79,1
79,80,-1
80,8,1
81,82,-1
82,51,1
51,79,1
79,80,-1
80,8,1
69,83,1
83,13,1
13,11,1
11,84,1
84,85,-1
85,21,1
21,86,1
86,27,1
27,87,1
87,37,1
37,47,1
47,6,-1
6,88,1
88,8,1
89,13,-1
13,86,1
86,3,1
3,11,1
11,35,1
35,13,1
13,90,1
90,40,1
40,91,1
91,85,1
85,21,1
21,54,1
54,36,1
36,37,-1
37,19,1
19,11,1
11,92,1
92,93,-1
93,11,1
11,94,1
94,95,-1
95,27,1
27,6,-1
6,48,-1
48,96,1
96,67,-1
67,40,-1
40,97,1
97,30,1
30,21,1
21,58,-1
58,48,1
48,80,1
80,7,1
7,8,1
98,99,-1
99,100,-1
100,51,1
51,101,1
101,92,-1
92,12,1
12,21,1
21,13,1
13,38,1
38,39,1
39,40,-1
40,8,1
0,1,-1
1,2,-1
2,3,1
3,11,1
11,102,1
102,23,-1
23,103,1
103,67,-1
67,11,1
11,94,1
94,104,-1
104,13,1
13,105,1
105,106,-1
106,76,1
76,25,-1
25,107,1
107,108,-1
108,13,1
13,109,1
109,110,-1
110,111,-1
111,76,1
76,25,-1
25,19,1
19,112,1
112,80,-1
80,30,1
30,11,1
11,3,1
3,40,-1
40,24,-1
24,40,-1
40,75,1
75,30,1
30,76,1
76,58,-1
58,48,-1
48,49,-1
49,7,1
7,13,1
13,88,1
88,8,1
113,10,-1
10,11,1
11,102,1
102,13,-1
13,114,1
114,93,-1
93,19,1
19,112,1
112,80,-1
80,115,1
115,116,-1
116,11,1
11,102,1
102,23,-1
23,12,-1
12,25,-1
25,117,1
117,13,1
13,118,1
118,119,-1
119,19,1
19,120,1
120,25,-1
25,120,-1
120,25,-1
25,121,1
121,80,-1
80,7,1
7,8,1
0,1,-1
1,2,-1
2,30,1
30,3,1
3,122,1
122,123,-1
123,13,1
13,124,1
124,33,1
33,39,1
39,58,-1
58,7,1
7,8,1
125,126,-1
126,127,-1
127,128,-1
128,129,-1
129,130,-1
130,131,-1
131,2,-1
2,38,1
38,39,1
39,40,-1
40,8,1
132,3,1
3,71,1
71,13,1
13,72,1
72,73,-1
73,74,1
74,2,-1
2,13,1
13,75,1
75,38,1
38,11,1
11,133,1
133,134,-1
134,19,1
19,6,1
6,48,1
48,80,1
80,40,-1
40,8,1
102,13,-1
13,124,1
124,19,1
19,11,1
11,89,1
89,23,-1
23,12,-1
12,25,-1
25,135,1
135,136,-1
136,48,1
48,137,1
137,40,-1
40,138,1
138,51,-1
51,139,-1
139,21,1
21,13,1
13,88,1
88,8,1
140,6,-1
6,141,-1
141,142,1
142,34,-1
34,21,1
21,12,-1
12,58,-1
58,7,1
7,13,1
13,88,1
88,12,1
12,25,-1
25,11,1
11,135,1
135,136,-1
136,48,1
48,143,1
143,141,-1
141,13,1
13,33,1
33,144,1
144,6,-1
6,137,-1
137,38,1
38,39,1
39,40,-1
40,8,1
121,80,-1
80,48,1
48,80,1
80,40,-1
40,60,1
60,145,-1
145,30,1
30,0,1
0,1,-1
1,2,-1
2,3,1
3,11,1
11,146,1
146,145,-1
145,13,1
13,147,1
147,148,-1
148,19,1
19,149,1
149,6,-1
6,141,-1
141,150,1
150,58,-1
58,7,1
7,8,1
151,58,-1
58,102,-1
102,139,-1
139,6,1
6,48,1
48,80,1
80,40,-1
40,8,1
51,60,-1
60,152,1
152,30,-1
30,153,1
153,51,1
51,154,1
154,145,-1
